"1","general-lab-supplies","1","0","0","1","General Lab Supplies","Lorem Ipsum &nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","product/category.jpg","2","0","1","Buy Online General Laboratory Supplies and Apparatus, India | Biomall","general laboratory supplies,apparatus,chemical supplies,biomall,India","Buy online scientific & general laboratory supplies in India. At Biomall.in get wide range of lab apparatus, medical & chemistry supplies available at best price.
","2016-01-28 12:57:22","2018-01-12 15:10:33"
"2","pipette-tips","1","1","1","1-2","Pipette Tips","Tips :

Micropipette tips are essential when using a micropipette. These gets attached to the shaft of the pipette and are usually ejected after use. For accurate micropipetting, it is necessary that tips are sterile, unclogged, and uniform in size. Although these are adjustable, selecting the appropriate tip for a particular function/experiment is essential. A very useful lab item for biotechnology industry as well, they are usually available in boxes and can be bought in bulk
Characteristics
• Tips are available in various sizes and can be used to for a range of volumes (0.5 to 1000 microliter) of liquids
• Conical in shape
• Autoclavable
• Available in various color for easy identification 
• Disposable
• Some brands have extended tip ends for improving efficiency
","product/category.jpg","1","0","0","Buy online Laboratory Pipette Tips in India | Biomall","pipette tips,biomall,india","Buy online Laboratory pipette tips in India. Used for measuring small amounts of liquid ideal for research and clinical labs. Available at best price.
","2016-01-28 13:04:01","2017-03-23 13:47:10"
"3","lab-equipments","1","0","0","3","Lab Equipments ",NULL,"product/category.jpg","3","1","1","Buy online Laboratory equipments & apparatus in India | Biomall","Laboratory equipments,apparatus,lab instruments,biomall,india","Buy Laboratory equipments & apparatus online in India. Request quote for a wide range of lab instruments and testing equipments from different brands at Biomall.in.
","2016-02-08 13:44:14","2016-07-27 11:15:25"
"4","cell-culture","1","0","0","4","Cell Culture ",NULL,"product/category.jpg","4","1","1","Buy Laboratory Cell Culture Supplies |Biomall.in","cell culture,cell culture supplies,cell culture lab,india,biomall","Get wide range of equipment and supplies common to most cell culture laboratories in India at Biomall.in; ideal for research and clinical labs.
","2016-02-08 13:44:50","2016-08-31 11:25:25"
"5","genomics","1","0","0","5","Genomics",,"product/category.jpg","4","1","0","Buy Products used in Genomics Online in India | Biomall","genomics,India,biomall,genomes","Find products used in Genomics Online in India at Biomall. Genomics is an area within genetics that study genomes. It is also concerned with the sequencing and analysis of an organism’s genome.","2016-02-08 13:45:13","2017-07-25 17:46:54"
"6","proteomics","1","0","0","6","Proteomics",NULL,"product/category.jpg","5","1","1","Proteomics Products in India |Biomall.in","proteomics,proteome,india,biomall","Find products ideal for study & research of proteins in India at Biomall.in. A proteome is a set of proteins expressed in a cell, in a given set of conditions.
","2016-02-08 13:45:54","2016-09-14 15:53:47"
"7","glassware","1","0","0","7","Glassware","GLASSWARE
These may be used to store the chemicals (solid or liquid), transfer of chemicals, for making solution, reagents, etc. amongst others. Most of these glassware are heat, corrosion, chemical, and temperature resistant.  These glassware's include beakers, flasks, watch glass, Petri plates measuring cylinders, test tubes etc. of various shapes and sizes to incorporate a range of volumes. They can be autoclaved and used again if sterile conditions are required. They can also be washed with soap or detergent and can be reused.
Generally, a separate space is allocated for the storage of glassware in a lab.
Glassware are all well calibrated and can be easily labeled using a marker or a sticker.
","product/category.jpg","6","1","0","Laboratory Glassware & Glass Lab Equipment | Biomall.in India","laboratory glassware,biomall,india","Buy online laboratory glassware and scientific glass lab equipment in India at best price on Biomall.in India. Visit Us Now!
","2016-02-08 13:46:26","2017-04-12 16:26:14"
"8","bottles","1","1","1","1-8","Bottles","Solution bottle
One of the most widely used glassware in any laboratory setups. Solution bottles are used to store, transfer, dispense or mix solutions. These bottles are made of borosilicate glass in most cases or sometimes with polystyrene. Strong acids like Sulphuric acid and strong alkali like sodium hydroxide besides other organic solvents. Ideal for media preparation. These are available in wide range of sizes and shapes. From cylindrical to a typical bottle-shaped with the cap made of glass or polyethylene and can store from a few mL to many liters volumes of liquid.
Characteristics
• They are very durable and heat and chemical resistant.
• Both sterile and non-sterile version are available.
• Autoclavable and washable.","product/category.jpg","2","1","0","Buy Online Laboratory Bottles in India | Biomall","laboratory bottles,glass container,biomall,India","Buy online laboratory glass bottles in India at Biomall.in. Get wide range of bottles intented to contain chemicals in liquid or powdred form for laboratory use.
","2016-02-08 14:30:26","2017-04-19 11:11:25"
"9","multi-well-plate","0","4","1","4-9","Multi-well Plate","96 well plates
These are plates made of polystyrene having 96 wells arranged in a rectangular matrix which can be used as small tubes for various biological, forensic and pharmacological purposes and experiments.  They are widely used for ELISA (Enzyme-linked Immunosorbent assay), some versions of the plate have hydrophilic surface making them more suitable for cells to adhere and are therefore used in tissue culture and bacteriological experiments. Each well can store volumes of liquid ranging from Nano-liters to several milliliters. The wells are separated via gaps. These wells can also be used as a rack to support tubes especially in the case of PCR, qPCR and other DNA template amplification protocols. 
These plates are available in various dimensions

Types and design
• The bottom and surface of these plates are flat 
• The bottom may have distinct shapes like ‘U’, ‘C’, and ‘V’
• Bottom may be transparent or black/white pigmented
• Transparent bottoms are useful for fluorescent and immunofluorescent assays
• Titanium dioxide may be added into polystyrene to increase optical absorbance
• Plates have labeled rows and columns
","product/category.jpg","1","1","0","96 well plates",,,"2016-02-08 15:04:39","2017-04-01 12:38:56"
"10","serological-pipette","0","4","1","4-10","Serological Pipette","Serological pipettes
These pipettes are used to transfer sera in cell/tissue culture applications. These are made of polystyrene and are disposable. Available in various sizes and structural design
","product/category.jpg","2","1","0","Serological Pipette",,,"2016-02-08 17:03:43","2017-03-29 13:36:50"
"11","dna-electrophoresis","1","5","1","5-11","DNA Electrophoresis",NULL,"product/category.jpg","1","0","0","Find DNA Electrphoresis Biochemicals, India | Biomall.in ","dna electrphoresis biochemicals, india, biomall","Find Biochemical products and solutions used in the process of DNA Electrphoresis. Available in India at Biomall.in
","2016-02-08 17:07:42","2016-09-06 16:30:18"
"12","pcr","1","5","1","5-12","PCR ","PCR
Polymerase chain reaction or PCR is a technique developed by American biochemist Kary Mullis. This technique can amplify (make multiple copies of) a particular sequence of interest in a DNA. The first step in the process is the denaturation of the double-stranded DNA at a temperature of 94 to 96 degree Celsius. This is followed by annealing or joining of the specifically designed primer at the target site and then the action of polymerase leading to its elongation by the addition of the nucleotides from the nucleotide mixture added. The denaturation takes about 30 secs, the annealing about 20 to 40 secs and the elongation takes several minutes depending upon the number of cycles set in the PCR machine. 2n copies of DNA are made where n is the number of cycles. The annealing temperature usually varies between 50 to 65 degree Celsius whereas the elongation temperature on the average is 72 degree Celsius 
Requirement: PCR machine, the sample DNA template, a polymerase enzyme to initiate the polymerization of new strands (usually the heat resistant Taq polymerase is used), the designed forward and reverse primers that will bind to the sense and antisense strands of the sample DNA template, the deoxynucleoside triphosphates or dNTPs mixture which will provide the nucleotides for elongation - they act as the building blocks of the new strand, and the buffer solution to maintain the pH are the key requirements. PCR tubes are different and smaller from the regular Eppendorf tubes. The PCR reagents are heat sensitive and therefore stored in ice. PCR Kits are also available with everything readymade and quick to use.
Types: In addition to the conventional PCR, a gradient PCR with a range of variation in annealing temperature can also be used. It is Ideal when samples are unknown. A digital PCR where the concentration of the targeted DNA is measured by diluting the sample and then running multiple PCR such that some don’t receive a single copy of the target DNA, this is used to negatively determine the concentration.
Quantitative PCR (qPCR) which uses fluorescent dyes like Sybr Green to measure the quantity of amplified product in real time.
Applications
PCR has its application in confirming the presence of a gene. In DNA cloning and DNA fingerprinting experiments or quantitatively to estimate the level of gene expression amongst others.
","product/category.jpg","2","1","0","Buy PCR (Polymerase Chain Reaction) Products, India | Biomall.in","pcr,polymerase chain reaction,India,biomall","Buy PCR (Polymerase Chain Reaction) Products in India at Biomall.in commonly used for many applications like genotyping, paternity testing, cloning,  sequencing etc 
","2016-02-08 17:20:15","2017-04-12 16:03:39"
"13","kipps-apparatus","0","7","1","7-13","Kipp's Apparatus",NULL,"product/category.jpg","1","0","0",,,,"2016-02-08 17:28:13","0000-00-00 00:00:00"
"14","desiccator","1","3","1","3-14","Desiccator","Desiccators are small enclosures which are used in laboratories to store the chemical substances which would otherwise react with the moisture or humidity present in the air. 
A typical desiccator is made of heavy glass (usually rugged soda lime glass) and has two compartments in it. The lower one has a desiccant, which withdraws the moisture out of the air and keeps the desiccator dry. These desiccants could be anhydrous sodium chloride pellets or silica gel. The upper compartment keeps the substance which needs to be protected. A lid at the top closes the desiccator. Some enclosures use an additional vacuum stopcock for further evacuation of air. These are called vacuum desiccator. A manual of specifications with regards to handling and maintenance comes along.
Things to take care of
• Desiccators should be tested before using
• It may take some time after adding the desiccants for the adsorption of moisture
• A vacuum grease or petroleum jelly is used on the lid to ensure air-tight sealing
• A highly hygroscopic substance may not be suited for this type of desiccator since the lid open time to time
• Not suitable for large storage. A cabinet desiccator must be used for large storage.
• A dehumidifier zone may be set up around the desiccator for maximum efficiency","product/category.jpg","1","0","1","Buy online Laboratory desiccators in India | Biomall","laboratory desiccators,price,biomall,india","Buy Laboratory desiccators online in India. Get wide range of lab desiccators ideal for research and clinical labs at best price on Biomall.in
","2016-02-08 17:37:24","2017-04-12 13:24:34"
"15","hot-plate","1","3","1","3-15","Hot Plate","Hot plates (or Magnetic stirrer) are electronic devices used to uniformly heat the liquid with or without stirring it. The principle of working is same as in the one used in a kitchen, its usage is in chemistry and biology lab. A stir bar (or ‘beads’ or 'flea') is immersed into the liquid and the device generates a magnetic field which causes the bar to rotate and thereby generating a vortex stirring the liquid. The temperature of the hot plate and the frequency of rotation (rpm) can easily be adjusted manually. The device is available in multiple dimensions.  The manufacturer/supplier provides an operation manual with all specifications details. Calibration and application details can be seen in the manual.
Features
• Digital display.
• Rotation frequency ranges from 100 to 1000 rpm.
• Corrosion resistant plate.
• Bright white colored plate to enhance solution visibility.
• Simple design with easy handling and cleaning.

Cautions
• Stir bars are available in various shapes and lengths. Pick the one that suits the size of the vessel containing liquid.
• The viscosity of liquid matters. A very viscous liquid may not be ideal for a Hot plate.
• Stir bar should be contamination free for every use.","product/category.jpg","1","1","0","Buy Online Hot Plate or Magnetic Stirrer in India | Biomall","buy hot plate india,magnetic stirrer,India,Biomall","Buy Hot Plate for laboratory purposes in India at Biomall.in. Hot plates (or Magnetic stirrer) are electronic devices used to uniformly heat the liquid with or without stirring it.","2016-02-08 17:45:45","2017-07-25 17:41:52"
"16","pipette","1","3","1","3-16","Pipette","Micropipette


Micropipettes are one of the most widely used equipment for scientific research and experimentation. Their function is to dispense and/or transfer very small volumes of liquid. By definition, the principle remains the same as that of any other pipette, however, the measure of volume can range from 0.1 to 5000 units of volume. It has both a volume adjuster and a volume indicator. ISO certified Biosystems manufactures durable, autoclavable (lower part) and easy to handle micropipettes. Micropipettes require micropipette tips or microtips (which are autoclavable as well) which are available in various size and color (for easy identification) depending upon the volume. A plastic shaft at the lower end of the pipette is where the tip is to be attached and ejected after it is used by pressing the tip ejector. Both the index finger as well as the thumb can be used to dispense the liquid by pressing the plunger. One can choose from Micropipette sizes, brand, cost, and type of color code. An online package may offer advantages like buying a micropipette holder, stand and a guide to explain its mechanism and quality control all along.
Eliminating error
Since micropipette use a very small volume of liquid their mishandling can be a cause of error in the Lab
• To eliminate contamination it is vital that the tips are sterile and have not come in contact with the user or any object while micropipetting
• Turning the volume indicator beyond or below the volume range might lead to inaccurate volumes been withdrawn or the breakage of the volume indicator
• While operating, The plunger is to be released slowly while withdrawing the liquid; an abrupt release might lead to the sucking in of the liquid inside the pipette giving inaccurate results
• Micropipettes should not be dipped below1-3 mm into the liquid containing Eppendorf (or another object) while withdrawing as this may lead to the adherence of liquid at the tip whereas dipping above this range it may lead to the sucking in of air. Either way, it will produce an error
• Pipettes can be calibrated using the gravimetric or the colorimetric method, protocols of which can be found in the guide attached. Calibration is a good way for micropipette maintenance and repair.


","product/category.jpg","3","1","0","Buy Online Serological Pipettes in India | Biomall.in","serological pipettes,India,biomall","Get wide range of  Serological Pipettes online in India at Biomall.in; commonly used to measure and transfer small volumes of solution.
","2016-02-08 17:49:23","2017-03-24 17:00:39"
"17","rotospin","1","3","1","3-17","Rotospin","Rotospin
The rotor spin rotary mixers are digital electronic equipment which brings about the mixing of the components in a liquid or liquid mixtures. There are specially designed tubes and in some cases even bottles which can be loaded onto the machine with the sample in them. The movement can be brought about at various speed and for various time length both of which are adjustable. In some advanced versions, not only rotary but movements and motions of various types can also be brought about.
","product/category.jpg","3","1","0","Buy online Laboratory Rotospin Rotary Mixer in India | Biomall","rotospin,rotary mixer,biomall,india","Buy Laboratory Rotospin Rotary Mixer online in India. Get wide range of rotospin rotary mixer ideal for research and clinical labs at Biomall.in.
","2016-02-08 17:52:19","2017-04-18 18:03:34"
"18","shaker","1","3","1","3-18","Shaker",NULL,"product/category.jpg","5","0","0","Buy online Laboratory Shaker & Mixer in India | Biomall","orbital shaker,mixer,shaker lab equipment,biomall,India","Buy Laboratory shaker and mixer online in India. Request quote for a wide range of lab shaker equipment including orbital shakers at Biomall.in
","2016-02-08 17:54:30","2016-07-27 11:35:51"
"19","animal-cage","1","1","1","1-19","Animal Cage",NULL,"product/category.jpg","1","0","0","Buy Online Laboratory Animal Cages in India | Biomall","general laboratory supplies,apparatus,chemical supplies,biomall,India","Buy online cost effective laboratory animal cages in india at Biomall.in ideal for animal research and scientific laboratory.
","2016-02-08 17:56:20","2016-08-20 14:34:40"
